Organization Name,City,Address,Latitude,Longitude,Province/State,Sector/Type,Services Offered,Website,Email Address,Phone Number,Contact Name,Notes
Workforce Windsor Essex,"Windsor, ON","3295 Quality Way, Suite 150, Windsor, ON N8T 3R9",42.3036,-82.9317,ON,Ecosystem & Business Networks,"Workforce development, newsletters",https://workforcewindsoressex.com/,jfalconer@workforcewindsoressex.com,226-674-3220,"Justin Falconer, CEO",The WE Jobs Portal has tools to help you achieve your career goals.
Automate Canada,"Windsor, ON","3475 Wheelton Dr., Windsor, Ontario N8W 0A6",42.2938,-82.9502,ON,Ecosystem & Business Networks,"Networking opportunities, professional development, advocacy, resources, discounts",https://www.automatecanada.com/,info@automatecanada.ca,519-817-6260,,Promote and develop the global exposure of the Canadian industrial automation industry.
Canadian Association of Moldmakers (CAMM),"Windsor, ON","3475 Wheelton Dr., Windsor, Ontario N8W 0A6",42.2938,-82.9502,ON,Ecosystem & Business Networks,"Moldmaking, manufacturing",https://www.camm.ca/,-,519-818-8866,"Nicole Vlanich, Executive Director","Promote, preserve, and protect the interests of Canadian mold makers."
University of Windsor’s Centre for Automotive Research (CAR),"Windsor, ON","401 Sunset Ave, Windsor, ON N9B 3P4",42.3063,-83.0659,ON,Educational Institution / Research and Commercialization,"Automotive research, Electric vehicles, Hybrid systems",https://www.uwindsor.ca/engineering/research/422/centre-automotive-research-and-education,pfrise@uwindsor.ca,519-253-3000 x. 3888,"Dr. Peter Frise, Director",Committed to conducting world-class research and educational initiatives that will enhance the Canadian automotive industry and its competitiveness in the global marketplace.
University of Windsor’s Great Lakes Institute for Environmental Research (GLIER),"Windsor, ON","2990 Riverside Dr W, WIndsor, ON N9C 4G3",42.30792039,-83.07318883,ON,Educational Institution / Research and Commercialization,"Environmental research, Sustainability, Green technologies",https://www.uwindsor.ca/glier/,Robert.Mckay@uwindsor.ca,519-253-3000 x. 2797 or x. 2732,"Dr. Mike McKay, Director",Addresses complex environmental problems that cross conventional disciplinary boundaries such as the effects of multiple environmental stressors on large lakes and their watersheds.
University of Windsor’s Institute for Diagnostic Imaging Research (IDIR),"Windsor, ON","688 University Ave W, Windsor, ON N9A 5R5",42.31574774,-83.04707547,ON,Educational Institution / Research and Commercialization,"Diagnostic imaging, Medical physics, Non-destructive testing",https://www.uwindsor.ca/idir/,beneteh@uwindsor.ca,519-977-7400 x. 223,"Sarah Beneteau, Administrative Manager","Conducts applied reseaerch, develops products, and handles product commercialization for a growing list of regional, national, and international clients."
Ontario Tourism Innovation Lab,"Windsor, ON","Tourism Innovation Lab c/o Hackforge, 300 Ouellette Ave, Suite 210, Windsor, ON N9A 7B4",42.3179,-83.0386,ON,Innovation Hub / Coworking Space,"Mentorship, incubation, micro-grants, tourism startup support, industry innovation",https://www.tourisminnovation.ca/,info@tourisminnovation.ca,-,,"The Tourism Innovation Lab is a non-profit initiative created to find, foster and support new tourism ideas, experiences and partnerships, to cultivate and propel collaborations between the tourism and tech sectors, and to build a community of tourism innovators, idea makers and entrepreneurs in Canada. "
Windsor Essex Capital Angel Network (WECAN),"Windsor, ON","Downtown Windsor Business Accelerator c/o Michelle Teno-Wachter, 966 Homedale Ave, Windsor, ON N8S 2T2",42.3277601,-82.95782748,ON,VC and Funding,"General Tech, Medtech, Green Tech",https://weangelnetwork.com/,info@weangelnetwork.com; cam@weangelnetwork.com,705-984-5337,"Cam Crowder, Interim Executive Director","Seek to invest in companies in which they can take an active interest through mentorship, financial investment and as potential business advisory board members or potential board of director members."
Invest Ontario,"Toronto, ON ","250 Yonge Street, 35th floor, Toronto, ON M5B 2L7",43.65459883,-79.38042705,ON,VC and Funding,"Economic development, business investment",https://www.investontario.ca/,info@InvestOntario.ca,416-313-3469,,Ontario's dedicated investment attraction agency.
Indigenous Innovation Initiative (Grand Challenges Canada),"Toronto, ON ","661 University Avenue, Toronto, ON M5G 1M1",43.65906,-79.38921,ON,Innovation Hub / Coworking Space,"Funding, capacity-building, innovation for Indigenous-led startups.",https://www.indigenousinnovate.org/,info@indigenousinnovate.org,437-228-3504,,"Goal is to empower First Nation, Inuit and Métis innovators and communities to identify and solve their own challenges, transform lives and drive inclusive growth, wellbeing and cultural revitalization through innovation. "
Vector Institute Toronto,"Toronto, ON","108 College St, Toronto, ON M5G 0C6",43.66039823,-79.38915613,ON,Educational Institution / Research and Commercialization,"AI adoption, AI development",https://vectorinstitute.ai,info@vectorinstitute.ai,-,,"Globally-renowned AI Institute that empowers researchers, businesses, and governments, to deveop and adopt AI responsibly."
Ontario Centre of Innovation (OCI),"Toronto, ON","325 Front St W Suite 300, Toronto, ON M5V 2Y1",43.64316076,-79.39030696,ON,Innovation Hub / Coworking Space,"Technology development, R&D, commercialization",https://www.oc-innovation.ca,apereira@oc-innovation.ca,416-861-1092,"Alicia Pereira, Vice President Marketing & Communications","Brings industry, academic, and government partners together to invest in collaborative R&D, technology development, and commercialization opportunities that generate the highest return on innovation for Ontarians."
Advanced Manufacturing Supercluster (NGen),"Hamilton, ON","175 Longwood Rd S, Hamilton, ON L8P 0A1",43.25684048,-79.90067563,ON,Ecosystem & Business Networks,"Funding, education, mentorship, development initiatives",https://www.ngen.ca,info@ngen.ca,-,,"Industry-led, non-profit organization leading Canada's Global Innovation Cluster for Advanced Mnufacturing."
Maple Leaf Angels (Toronto),"Toronto, ON","47 Colborne St, Toronto, ON M5E 1P8",43.6488987,-79.37483473,ON,VC and Funding,"Investments, fundings, support, early stage tech",https://mapleleafangels.com/,info@mapleleafangels.com,416-646-6235,,Group of high net worth private individuals who invest in and supoprt seed and early stage technology companies.
BDC Capital,"Windsor, ON","325 Devonshire Rd, Suite 330, Windsor, ON N8Y 2L3",42.3251629,-83.01376013,ON,VC and Funding,"Venture capital, growth & transition capital, growth equity partners",https://www.bdc.ca/en/bdc-capital,-,519-257-6811,,"Offers innovative solutions, often with terms and conditions tailored to emet the unique needs of entrepreneurs and innovators looking to raise capital for their growth and transition projects."
Mitacs,"Toronto, ON","100 College St, Toronto, ON M5S 1B4",43.67997628,-79.40534058,ON,Innovation Hub / Coworking Space,"Connecting to talent, financial support, manaigng innovation, training opportunities",https://www.mitacs.ca/,bd@mitacs.ca,-,,"Connects businesses and researchers. Provides resources needed to drive competitiveness and productivity in sectors such as digital technology, AI, energy, sustainable solutions, and advanced manufacturing."
Rise,"Toronto, ON","2 Carlton Street, Suite 1806, Toronto, ON M5B 1J3",43.66168103,-79.38284311,ON,Entrepreneurship/Small Business/Non-Profit Support,"Various entrepreneurship programs, mentorship low-interest loans, free training programs",https://www.risehelps.ca/,toronto@risehelps.ca,647-232-7473,,National organization dedicated to empowering people with mental health and addiciton challenges to achieve greater social and economic inclusion through entrepreneurship.
Google Developer Group - Windsor,"Windsor, ON","401 Sunset Ave, Windsor, ON N9B 3P4",42.3063,-83.0659,ON,Ecosystem & Business Networks,"Workshops, tech talks, conferences.",https://gdg.community.dev/gdg-windsor/,viviantangers@gmail.com,-,"Vivian Tang, Google Community Organizer",Local community hub of professional developers who share expertise and passion for Google's developer technology.
AngelOne Investor Network,"Burlington, ON","801-5500 North Service Road, Burlington, ON L7L 6W6",43.3959,-79.7613,ON,VC and Funding,"Early-Stage Startups, Tech Commercialization",https://www.angelonenetwork.ca/,hello@angelonenetwork.ca,-,,"Connects angel investors with startups. Member based, not-for-profit organization. Serves Toronto, Mississauga, Oakville, Burlington, Hamilton, and surrounding areas."
